verification_key	pathway_level1	pathway_level2	source	checklist_datasetKey	language
5199161	stowaway	hull_fouling	Vercauteren T, De Smedt S, Warmoes T, Goddeeris B, Wouters K (2005) Drie nieuwe Ponto-Kaspische inwijkelingen dringen door tot in kanalen in de provincie Antwerpen: de zoetwaterpolychaet Hypania invalida (Grube, 1860) en, voor het eerst in België, de platworm Dendrocoelum romanodanubiale (Codreanu, 1949) en de Donaupissebed Jaera istri Veuille, 1979. In: Nieuwborg H (ed), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2003, pp 83–97	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
9442679	stowaway	ballast_water	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4812260	stowaway	ballast_water	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4410088	stowaway	ballast_water	Seys J, Vincx M, Meire P (1999) Spatial distribution of oligochaetes (Clitellata) in the tidal freshwater and brackish parts of the Schelde estuary (Belgium). In: Aquatic Oligochaetes, Springer Netherlands, pp 119–132	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2308574	stowaway	ballast_water	Damas H (1938) Sur la presence dans la Meuse belge de Branchiura sowerbyi, Craspedacusta sowerbyi, et Urnatella gracilis. Annalles de Societé Zoologique Belge 69: 293–310	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2308605	stowaway	ballast_water	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
9479629	stowaway	ballast_water	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4410056	stowaway	ballast_water	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2308541	stowaway	ballast_water	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4410150	stowaway	ballast_water	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
