checklist_key	checklist_scientificName	checklist_datasetKey	backbone_taxonKey	backbone_scientificName	backbone_species	backbone_genus	backbone_family	backbone_order	backbone_class	backbone_phylum	backbone_kingdom	backbone_rank	backbone_speciesKey	backbone_taxonomicStatus	backbone_acceptedKey	backbone_acceptedName	backbone_issues
141265332	Dimorphotheca pluvialis (L.) Moench	9ff7d317-609b-4c08-bd86-3bc404b77c42	5402363	Dimorphotheca pluvialis (L.) Moench	Dimorphotheca pluvialis	Dimorphotheca	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5402363	ACCEPTED			ORIGINAL_NAME_DERIVED
141265333	Pilosella x prussica (Naeg. & Peter) Soják	9ff7d317-609b-4c08-bd86-3bc404b77c42	9321334	Pilosella prussica (Nägeli & Peter) Soják	Pilosella prussica	Pilosella	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	9321334	ACCEPTED			ORIGINAL_NAME_DERIVED
141265334	Doronicum columnae Ten.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3143034	Doronicum columnae Ten.	Doronicum columnae	Doronicum	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3143034	ACCEPTED			NULL
141265336	Centaurea nigrescens Willd.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3128228	Centaurea nigrescens Willd.	Centaurea nigrescens	Centaurea	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3128228	ACCEPTED			NULL
141265337	Rudbeckia fulgida Ait.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3114249	Rudbeckia fulgida Aiton	Rudbeckia fulgida	Rudbeckia	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3114249	ACCEPTED			NULL
141265338	Helipterum strictum (Lindl.) Benth.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3137688	Helipterum strictum (Lindl.) Benth.	Rhodanthe stricta	Rhodanthe	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3137686	SYNONYM	3137686	Rhodanthe stricta (Lindl.) Paul G.Wilson	ORIGINAL_NAME_DERIVED
141265339	Helianthus annuus L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	9206251	Helianthus annuus L.	Helianthus annuus	Helianthus	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	9206251	ACCEPTED			NULL
141265340	Inula helenium L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3148340	Inula helenium L.	Inula helenium	Inula	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3148340	ACCEPTED			NULL
141265341	Centaurea pectinata L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	8018277	Centaurea pectinata L.	Centaurea pectinata	Centaurea	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	8018277	ACCEPTED			NULL
141265342	Solidago rugosa Mill.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5388967	Solidago rugosa Mill.	Solidago rugosa	Solidago	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5388967	ACCEPTED			NULL
141265343	Achillea setacea Waldst. & Kit.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3120066	Achillea setacea Waldst. & Kit.	Achillea setacea	Achillea	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3120066	ACCEPTED			NULL
141265344	Tanacetum corymbosum (L.) Schultz-Bip.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3118216	Tanacetum corymbosum Sch.Bip.	Tanacetum corymbosum	Tanacetum	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3118216	ACCEPTED			NULL
141265345	Cota austriaca (Jacq.) Schultz-Bip.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5390636	Cota austriaca Sch.Bip.	Cota austriaca	Cota	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5390636	ACCEPTED			NULL
141265346	Grindelia squarrosa (Pursh) Dun.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3146219	Grindelia squarrosa (Pursh) Dunal	Grindelia squarrosa	Grindelia	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3146219	ACCEPTED			NULL
141265347	Artemisia afra Jacq.	9ff7d317-609b-4c08-bd86-3bc404b77c42	8078031	Artemisia afra Jacq.	Ptilostemon afer	Ptilostemon	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3096857	HETEROTYPIC_SYNONYM	6076176	Ptilostemon afer subsp. afer	CONFLICTING_BASIONYM_COMBINATION
141265348	Leysera tenella DC.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3092604	Leysera tenella DC.	Leysera tenella	Leysera	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3092604	ACCEPTED			NULL
141265349	Tagetes minuta L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3088481	Tagetes minuta L.	Tagetes minuta	Tagetes	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3088481	ACCEPTED			NULL
141265350	Bidens pilosa L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5391845	Bidens pilosa L.	Bidens pilosa	Bidens	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5391845	ACCEPTED			NULL
141265351	Crepis tectorum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5403508	Crepis tectorum L.	Crepis tectorum	Crepis	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5403508	ACCEPTED			NULL
141265352	Pilosella piloselloides (Vill.) Soják	9ff7d317-609b-4c08-bd86-3bc404b77c42	8288930	Pilosella piloselloides (Vill.) Soják	Pilosella piloselloides	Pilosella	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	8288930	ACCEPTED			NULL
141265353	Artemisia pontica L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	8195160	Artemisia pontica L.	Artemisia pontica	Artemisia	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	8195160	ACCEPTED			NULL
141265354	Symphyotrichum novae-angliae (L.) Nesom	9ff7d317-609b-4c08-bd86-3bc404b77c42	3151618	Symphyotrichum novae-angliae (L.) G.L.Nesom	Symphyotrichum novae-angliae	Symphyotrichum	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3151618	ACCEPTED			NULL
141265355	Tagetes tenuifolia Cav.	9ff7d317-609b-4c08-bd86-3bc404b77c42	7497356	Tagetes tenuifolia Cav.	Tagetes tenuifolia	Tagetes	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	7497356	ACCEPTED			NULL
141265356	Centaurea paniculata L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3127613	Centaurea paniculata L.	Centaurea paniculata	Centaurea	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3127613	ACCEPTED			NULL
141265357	Carthamus lanatus L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3138230	Carthamus lanatus L.	Carthamus lanatus	Carthamus	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3138230	ACCEPTED			NULL
141265358	Glebionis coronaria (L.) Tzvelev	9ff7d317-609b-4c08-bd86-3bc404b77c42	7627205	Glebionis coronaria (L.) Tzvelev	Glebionis coronaria	Glebionis	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	7627205	ACCEPTED			NULL
141265359	Helenium autumnale L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5401877	Helenium autumnale L.	Helenium autumnale	Helenium	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5401877	ACCEPTED			NULL
141265360	Lactuca sativa L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	7403263	Lactuca sativa L.	Lactuca sativa	Lactuca	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	7403263	ACCEPTED			NULL
141265361	Mantisalca salmantica (L.) Briq. & Cavill.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3141571	Mantisalca salmantica Briq. & Cavill.	Mantisalca salmantica	Mantisalca	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3141571	ACCEPTED			NULL
141265363	Crataegus pedicellata Sarg.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3015577	Crataegus pedicellata Sarg.	Crataegus pedicellata	Crataegus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3015577	ACCEPTED			NULL
141265364	Rosa majalis J. Herrmann	9ff7d317-609b-4c08-bd86-3bc404b77c42	3002263	Rosa majalis Herrm.	Rosa majalis	Rosa	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3002263	ACCEPTED			NULL
141265365	Prunus lusitanica L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3020871	Prunus lusitanica L.	Prunus lusitanica	Prunus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3020871	ACCEPTED			NULL
141265366	Cydonia oblonga Mill.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5362215	Cydonia oblonga Mill.	Cydonia oblonga	Cydonia	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5362215	ACCEPTED			NULL
141265367	Rubus phoenicolasius Maxim.	9ff7d317-609b-4c08-bd86-3bc404b77c42	2995149	Rubus phoenicolasius Maxim.	Rubus phoenicolasius	Rubus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	2995149	ACCEPTED			NULL
141265368	Cotoneaster zabelii C.K. Schneider	9ff7d317-609b-4c08-bd86-3bc404b77c42	3025605	Cotoneaster zabelii C.K.Schneid.	Cotoneaster zabelii	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3025605	ACCEPTED			NULL
141265369	Kerria japonica (L.) DC.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5371450	Kerria japonica (L.) DC.	Kerria japonica	Kerria	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5371450	ACCEPTED			NULL
141265370	Rubus laciniatus Willd.	9ff7d317-609b-4c08-bd86-3bc404b77c42	2992543	Rubus laciniatus Willd.	Rubus laciniatus	Rubus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	2992543	ACCEPTED			NULL
141265371	Potentilla recta L. subsp. obscura (Willd.) Arcang.	9ff7d317-609b-4c08-bd86-3bc404b77c42	8358048	Potentilla recta subsp. obscura (Willd.) Arcang.	Potentilla recta	Potentilla	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SUBSPECIES	5367294	ACCEPTED			ORIGINAL_NAME_DERIVED,NAME_PARENT_MISMATCH
141265372	Photinia beauverdiana C.K. Schneider var. notabilis (C.K. Schneider) Rehd. & Wilson	9ff7d317-609b-4c08-bd86-3bc404b77c42	5363895	Photinia beauverdiana var. notabilis (C.K.Schneider) Rehd. & E.H.Wilson	Photinia beauverdiana	Photinia	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	VARIETY	5363891	SYNONYM	5363891	Photinia beauverdiana C.K.Schneid.	ORIGINAL_NAME_DERIVED
141265373	Rosa chinensis group	9ff7d317-609b-4c08-bd86-3bc404b77c42															
141265374	Cotoneaster salicifolius Franch.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3026074	Cotoneaster salicifolius Franch.	Cotoneaster salicifolius	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3026074	ACCEPTED			NULL
141265375	Spiraea nipponica Maxim.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3027341	Spiraea nipponica Maxim.	Spiraea nipponica	Spiraea	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3027341	ACCEPTED			NULL
141265376	Crataegus persimilis Sarg.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3015457	Crataegus persimilis Sarg.	Crataegus persimilis	Crataegus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3015457	ACCEPTED			NULL
141265377	Neillia tanakae Franch. & Savatier	9ff7d317-609b-4c08-bd86-3bc404b77c42	2987948	Neillia tanakae Franch. & Sav.	Neillia tanakae	Neillia	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	2987948	ACCEPTED			NULL
141265378	Pyracantha coccinea Roem.	9ff7d317-609b-4c08-bd86-3bc404b77c42	9540191	Pyracantha coccinea Roem.	Pyracantha coccinea	Pyracantha	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	9540191	DOUBTFUL			ORTHOGRAPHIC_VARIANT
141265379	Spiraea alba Du Roi	9ff7d317-609b-4c08-bd86-3bc404b77c42	3026585	Spiraea alba Du Roi	Spiraea alba	Spiraea	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3026585	DOUBTFUL			ORTHOGRAPHIC_VARIANT
141265380	Rosa 'Hollandica'	9ff7d317-609b-4c08-bd86-3bc404b77c42															
141265381	Stranvaesia davidiana Decaisne	9ff7d317-609b-4c08-bd86-3bc404b77c42	3000406	Stranvaesia davidiana Decne.	Stranvaesia davidiana	Stranvaesia	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3000406	ACCEPTED			NULL
141265382	Cotoneaster mairei H. Léveillé	9ff7d317-609b-4c08-bd86-3bc404b77c42	3025944	Cotoneaster mairei H.Lév.	Cotoneaster mairei	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3025944	ACCEPTED			NULL
141265383	Cotoneaster lucidus Schltdl.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3025769	Cotoneaster lucidus Schltdl.	Cotoneaster lucidus	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3025769	ACCEPTED			NULL
141265384	Cotoneaster franchetii Bois	9ff7d317-609b-4c08-bd86-3bc404b77c42	3026162	Cotoneaster franchetii Bois	Cotoneaster franchetii	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3026162	ACCEPTED			NULL
141265385	Geum macrophyllum Willd.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5369784	Geum macrophyllum Willd.	Geum macrophyllum	Geum	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5369784	ACCEPTED			NULL
141265386	Cotoneaster integrifolius (Roxb.) G. Klotz	9ff7d317-609b-4c08-bd86-3bc404b77c42	3026105	Cotoneaster integrifolius (Roxb.) G.Klotz	Cotoneaster integrifolius	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3026105	ACCEPTED			NULL
141265387	Amelanchier lamarckii F.G. Schroeder	9ff7d317-609b-4c08-bd86-3bc404b77c42	3024109	Amelanchier lamarckii F.G.Schroed.	Amelanchier lamarckii	Amelanchier	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3024109	ACCEPTED			NULL
141265388	Photinia villosa (Thunb.) DC.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5363819	Photinia villosa DC.	Photinia villosa	Photinia	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5363819	ACCEPTED			NULL
141265389	Rosa virginiana J. Herrmann	9ff7d317-609b-4c08-bd86-3bc404b77c42	9382645	Rosa virginiana J.Herrmann	Rosa virginiana	Rosa	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	9382645	ACCEPTED			NULL
141265390	Spiraea douglasii Hook.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3027159	Spiraea douglasii Hook.	Spiraea douglasii	Spiraea	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3027159	ACCEPTED			NULL
141265391	Rosa 'Dorothy Perkins'	9ff7d317-609b-4c08-bd86-3bc404b77c42															
141265392	Dasiphora davurica (Nestler) Komarov var. mandshurica (Maxim.) Verloove & Lambinon	9ff7d317-609b-4c08-bd86-3bc404b77c42	8381801	Dasiphora davurica var. mandshurica (Maxim.) Verloove & Lambinon	Dasiphora fruticosa	Dasiphora	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	VARIETY	5370380	SYNONYM	5370380	Dasiphora fruticosa (L.) Rydb.	NULL
141265393	Prunus persica (L.) Batsch	9ff7d317-609b-4c08-bd86-3bc404b77c42	3022511	Prunus persica (L.) Batsch	Prunus persica	Prunus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	8149923	HETEROTYPIC_SYNONYM	8149923	Prunus persica Stokes	ORIGINAL_NAME_DERIVED
141265394	Potentilla indica (G. Jackson) T. Wolf	9ff7d317-609b-4c08-bd86-3bc404b77c42	8591421	Potentilla indica (Andrews) T.Wolf	Potentilla indica	Potentilla	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	8591421	ACCEPTED			NULL
141265396	Mespilus germanica L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3031774	Mespilus germanica L.	Mespilus germanica	Mespilus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3031774	ACCEPTED			NULL
141265397	Cotoneaster dielsianus Pritzel	9ff7d317-609b-4c08-bd86-3bc404b77c42	3025896	Cotoneaster dielsianus E.Pritz.	Cotoneaster dielsianus	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3025896	ACCEPTED			NULL
141265398	Agrimonia repens L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3001978	Agrimonia repens L.	Agrimonia repens	Agrimonia	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3001978	ACCEPTED			NULL
141265399	Cotoneaster x watereri Exell	9ff7d317-609b-4c08-bd86-3bc404b77c42	3026004	Cotoneaster ×watereri Exell	Cotoneaster watereri	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3026004	ACCEPTED			NULL
141265400	Rosa pendulina L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3006974	Rosa pendulina L.	Rosa pendulina	Rosa	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3006974	ACCEPTED			NULL
141265401	Alchemilla conjuncta Bab.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3028431	Alchemilla conjuncta Bab.	Alchemilla conjuncta	Alchemilla	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3028431	ACCEPTED			NULL
141265402	Chaenomeles japonica (Thundb.) Spach	9ff7d317-609b-4c08-bd86-3bc404b77c42	3000610	Chaenomeles japonica (Thunb.) Lindl. ex Spach	Chaenomeles japonica	Chaenomeles	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3000610	ACCEPTED			NULL
141265403	Prunus virginiana L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3022668	Prunus virginiana L.	Prunus serotina	Prunus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3021850	SYNONYM	3021850	Prunus serotina Ehrh.	CONFLICTING_BASIONYM_COMBINATION
141265404	Dasiphora fruticosa (L.) Rydberg	9ff7d317-609b-4c08-bd86-3bc404b77c42	5370380	Dasiphora fruticosa (L.) Rydb.	Dasiphora fruticosa	Dasiphora	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5370380	ACCEPTED			NULL
141265405	Prunus domestica L. subsp. domestica	9ff7d317-609b-4c08-bd86-3bc404b77c42	6369140	Prunus domestica subsp. domestica	Prunus domestica	Prunus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SUBSPECIES	7931731	ACCEPTED			NULL
141265406	Aruncus dioicus (Walter) Fernald	9ff7d317-609b-4c08-bd86-3bc404b77c42	5362136	Aruncus dioicus (Walter) Fernald	Aruncus dioicus	Aruncus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5362136	ACCEPTED			ORIGINAL_NAME_DERIVED
141265407	Cotoneaster dammeri C.K. Schneider	9ff7d317-609b-4c08-bd86-3bc404b77c42	3026049	Cotoneaster dammeri C.K.Schneid.	Cotoneaster dammeri	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3026049	ACCEPTED			NULL
141265408	Malus sieboldii (Regel) Rehd.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3001650	Malus sieboldii Rehder	Malus sieboldii	Malus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3001650	ACCEPTED			NULL
141265409	Cotoneaster qungbixiensis Fryer & B. Hylmö	9ff7d317-609b-4c08-bd86-3bc404b77c42	3025907	Cotoneaster qungbixiensis J.Fryer & B.Hylmö	Cotoneaster qungbixiensis	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3025907	ACCEPTED			NULL
141265410	Spiraea x rosalba Dippel	9ff7d317-609b-4c08-bd86-3bc404b77c42	3027332	Spiraea ×rosalba Dippel	Spiraea rosalba	Spiraea	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3027332	ACCEPTED			NULL
141265411	Sorbaria kirilowii (Regel) Maxim.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3012103	Sorbaria kirilowii (Regel & Tiling) Maxim.	Sorbaria kirilowii	Sorbaria	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3012103	ACCEPTED			NULL
141265412	Prunus x fruticans Weihe	9ff7d317-609b-4c08-bd86-3bc404b77c42	3022203	Prunus fruticans Weihe	Prunus fruticans	Prunus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3022203	ACCEPTED			NULL
141265413	Cotoneaster moupinensis Franch.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3025731	Cotoneaster moupinensis Franch.	Cotoneaster moupinensis	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3025731	ACCEPTED			NULL
141265414	Aronia melanocarpa (Michaux) S. Elliott	9ff7d317-609b-4c08-bd86-3bc404b77c42	5363627	Aronia melanocarpa (Michx.) Nutt. & Elliott	Aronia melanocarpa	Aronia	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	5363627	ACCEPTED			ORIGINAL_NAME_DERIVED
141265415	Spiraea canescens D. Don	9ff7d317-609b-4c08-bd86-3bc404b77c42	3027138	Spiraea canescens D.Don	Spiraea canescens	Spiraea	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3027138	ACCEPTED			NULL
141265416	Prunus cerasus L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3021922	Prunus cerasus L.	Prunus avium	Prunus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3020791	SYNONYM	3020791	Prunus avium (L.) L.	CONFLICTING_BASIONYM_COMBINATION
141265417	Cotoneaster simonsii Baker	9ff7d317-609b-4c08-bd86-3bc404b77c42	3026107	Cotoneaster simonsii hort. ex Baker	Cotoneaster simonsii	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3026107	ACCEPTED			NULL
141265418	Cotoneaster hylmoei Flinck & B. Hylmö	9ff7d317-609b-4c08-bd86-3bc404b77c42	3025758	Cotoneaster hylmoei K.E.Flinck & J.Fryer	Cotoneaster hylmoei	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3025758	ACCEPTED			NULL
141265419	Prunus serotina Ehrh.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3021850	Prunus serotina Ehrh.	Prunus serotina	Prunus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3021850	ACCEPTED			NULL
141265420	Fragaria x ananassa (Weston) Rozier	9ff7d317-609b-4c08-bd86-3bc404b77c42	3029912	Fragaria ananassa (Weston) Duchesne ex Rozier	Fragaria ananassa	Fragaria	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3029912	ACCEPTED			NULL
141265421	Prunus cerasifera Ehrh.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3021730	Prunus cerasifera Ehrh.	Prunus cerasifera	Prunus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3021730	ACCEPTED			NULL
141265422	Cotoneaster fangianus T.T. Yu	9ff7d317-609b-4c08-bd86-3bc404b77c42	3025932	Cotoneaster fangianus T.T.Yu	Cotoneaster fangianus	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3025932	ACCEPTED			NULL
141265423	Pyracantha crenatoserrata (Hance) Rehder	9ff7d317-609b-4c08-bd86-3bc404b77c42	2988170	Pyracantha crenatoserrata (Hance) Rehd.	Pyracantha fortuneana	Pyracantha	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	2988224	SYNONYM	2988224	Pyracantha fortuneana (Maxim.) H.L.Li	NULL
141265424	Pyrus communis L. subsp. communis	9ff7d317-609b-4c08-bd86-3bc404b77c42	7271631	Pyrus communis subsp. communis	Pyrus communis	Pyrus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SUBSPECIES	5362573	ACCEPTED			NULL
141265425	Spiraea hypericifolia L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3026431	Spiraea hypericifolia L.	Spiraea hypericifolia	Spiraea	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3026431	ACCEPTED			NULL
141265426	Cotoneaster hjelmqvistii Flinck & B. Hylmö	9ff7d317-609b-4c08-bd86-3bc404b77c42	3026092	Cotoneaster hjelmqvistii K.E.Flinck & B.Hylmö	Cotoneaster hjelmqvistii	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3026092	ACCEPTED			NULL
141265427	Alchemilla micans Buser	9ff7d317-609b-4c08-bd86-3bc404b77c42	3027791	Alchemilla micans Buser	Alchemilla micans	Alchemilla	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3027791	ACCEPTED			NULL
141265428	Cotoneaster x suecicus G. Klotz	9ff7d317-609b-4c08-bd86-3bc404b77c42	3026040	Cotoneaster suecicus G.Klotz	Cotoneaster suecicus	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3026040	ACCEPTED			NULL
141265429	Cotoneaster divaricatus Rehd. & E.H. Wilson	9ff7d317-609b-4c08-bd86-3bc404b77c42	3026334	Cotoneaster divaricatus Rehder & E.H.Wilson	Cotoneaster divaricatus	Cotoneaster	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	3026334	ACCEPTED			NULL
141265430	Prunus armeniaca L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	7818643	Prunus armeniaca L.	Prunus armeniaca	Prunus	Rosaceae	Rosales	Magnoliopsida	Tracheophyta	Plantae	SPECIES	7818643	ACCEPTED			NULL
